volcano_number,volcano_name,eruption_number,eruption_category,area_of_activity,vei,start_year,start_month,start_day,evidence_method_dating,end_year,end_month,end_day,latitude,longitude
300130,Karymsky,19179,Confirmed Eruption,,2.0,1955.0,7.0,2.0,Historical Observations,,,,54.049,159.443
290260,Chirinkotan,18827,Confirmed Eruption,Floor of summit explosion crater,2.0,1955.0,7.0,2.0,Historical Observations,,,,48.98,153.48
352010,Reventador,11440,Confirmed Eruption,,2.0,1955.0,7.0,2.0,Historical Observations,,,,-0.077,-77.656
390020,Erebus,13105,Confirmed Eruption,,2.0,1955.0,7.0,2.0,Historical Observations,,,,-77.53,167.17
372030,Katla,12678,Uncertain Eruption,East side of caldera,0.0,1955.0,6.0,25.0,,,,,63.633,-19.083
284070,Myojinsho,18318,Confirmed Eruption,4 km north of Bayonnaise Rocks,0.0,1955.0,6.0,25.0,Historical Observations,,,,31.888,139.918
251050,Long Island,14960,Confirmed Eruption,Motmot,3.0,1955.0,6.0,5.0,Historical Observations,1955.0,6.0,13.0,-5.358,147.12
252010,Langila,14987,Confirmed Eruption,Crater 2,2.0,1955.0,6.0,1.0,Historical Observations,1955.0,6.0,16.0,-5.525,148.42
211060,Etna,13789,Confirmed Eruption,"NE Crater, Central Crater",2.0,1955.0,4.0,5.0,Historical Observations,1956.0,4.0,7.0,37.748,14.999
284130,Fukutoku-Oka-no-Ba,18452,Uncertain Eruption,,0.0,1955.0,4.0,1.0,,1955.0,4.0,1.0,24.285,141.481
332010,Kilauea,10090,Confirmed Eruption,Lower east rift zone (50-400 m),0.0,1955.0,2.0,28.0,Historical Observations,1955.0,5.0,26.0,19.421,-155.287
252010,Langila,14986,Confirmed Eruption,Crater 2,2.0,1955.0,2.0,15.0,Historical Observations,1955.0,2.0,17.0,-5.525,148.42
262000,Krakatau,15605,Confirmed Eruption,Anak Krakatau,2.0,1955.0,2.0,11.0,Historical Observations,,,,-6.102,105.423
222120,"Lengai, Ol Doinyo",14017,Confirmed Eruption,North Crater,2.0,1955.0,1.0,19.0,Historical Observations,1955.0,1.0,20.0,-2.764,35.914
263340,Raung,16137,Confirmed Eruption,,2.0,1955.0,1.0,18.0,Historical Observations,1955.0,1.0,18.0,-8.119,114.056
241040,Whakaari/White Island,14475,Confirmed Eruption,,2.0,1955.0,1.0,16.0,Historical Observations,,,,-37.52,177.18
300240,Tolbachik,19307,Confirmed Eruption,,2.0,1955.0,1.0,7.0,Historical Observations,1955.0,2.0,9.0,55.832,160.326
263200,Dieng Volcanic Complex,15783,Confirmed Eruption,Candradimuka area,0.0,1954.0,12.0,6.0,Historical Observations,1954.0,12.0,6.0,-7.2,109.879
285040,Shikotsu,18630,Confirmed Eruption,Tarumai,1.0,1954.0,11.0,19.0,Historical Observations,1955.0,2.0,14.0,42.688,141.38
282080,Aira,17087,Uncertain Eruption,Minami-dake,1.0,1954.0,11.0,16.0,,1954.0,12.0,16.0,31.593,130.657
353050,"Negra, Sierra",11709,Confirmed Eruption,Volcano Uncertain: originally Alcedo,2.0,1954.0,11.0,9.0,,,,,-0.83,-91.17
353040,Alcedo,11695,Discredited Eruption,,,1954.0,11.0,9.0,,,,,-0.43,-91.12
264050,Sangeang Api,16244,Confirmed Eruption,,2.0,1954.0,11.0,4.0,Historical Observations,,,,-8.2,119.07
284070,Myojinsho,18317,Confirmed Eruption,Myojinsho,0.0,1954.0,11.0,4.0,Historical Observations,1954.0,11.0,5.0,31.888,139.918
344080,"Pilas, Las",10973,Confirmed Eruption,El Hoyo,2.0,1954.0,10.0,29.0,Historical Observations,1954.0,10.0,31.0,12.495,-86.688
343100,San Miguel,10856,Confirmed Eruption,,2.0,1954.0,10.0,21.0,Historical Observations,1954.0,10.0,21.0,13.434,-88.269
258010,Matthew Island,15359,Confirmed Eruption,"West-Matthew (October 1954, not 1953)",2.0,1954.0,10.0,16.0,Historical Observations,,,,-22.33,171.32
285050,Tokachidake,18652,Confirmed Eruption,NE of Shin-funkako (Showa Crater),1.0,1954.0,9.0,16.0,Historical Observations,1954.0,9.0,16.0,43.418,142.686
290240,Sarychev Peak,18813,Confirmed Eruption,,2.0,1954.0,8.0,16.0,Historical Observations,1954.0,10.0,16.0,48.092,153.2
261140,Marapi,15460,Confirmed Eruption,"Kepundan Bongsu, B and C Craters",2.0,1954.0,8.0,16.0,Historical Observations,1957.0,12.0,16.0,-0.38,100.474
251010,Bam,14886,Confirmed Eruption,,2.0,1954.0,8.0,3.0,Historical Observations,1957.0,1.0,2.0,-3.613,144.818
222120,"Lengai, Ol Doinyo",14016,Confirmed Eruption,North Crater,2.0,1954.0,7.0,26.0,Historical Observations,1954.0,9.0,16.0,-2.764,35.914
373010,Grimsvotn,12836,Uncertain Eruption,North and south part of caldera,1.0,1954.0,7.0,16.0,,,,,64.416,-17.316
257040,Ambrym,15265,Confirmed Eruption,Benbow,2.0,1954.0,7.0,2.0,Historical Observations,,,,-16.25,168.12
282030,Suwanosejima,16935,Confirmed Eruption,Submarine E flank (Suwanose-jima Oki),0.0,1954.0,7.0,2.0,Historical Observations,,,,29.638,129.714
313040,Spurr,20398,Discredited Eruption,,,1954.0,7.0,2.0,,,,,61.299,-152.251
224010,Cameroon,14130,Confirmed Eruption,Immediately south of summit,2.0,1954.0,6.0,28.0,Historical Observations,1954.0,7.0,26.0,4.203,9.17
355100,Lascar,11858,Confirmed Eruption,,2.0,1954.0,6.0,16.0,Historical Observations,1954.0,7.0,16.0,-23.37,-67.73
332010,Kilauea,10089,Confirmed Eruption,Halemaumau and Kilauea caldera,0.0,1954.0,5.0,31.0,Historical Observations,1954.0,6.0,3.0,19.421,-155.287
300260,Klyuchevskoy,19445,Confirmed Eruption,,2.0,1954.0,5.0,28.0,Historical Observations,1954.0,9.0,16.0,56.056,160.642
282110,Asosan,17327,Confirmed Eruption,Naka-dake,1.0,1954.0,5.0,26.0,Historical Observations,1954.0,5.0,26.0,32.884,131.104
252010,Langila,14985,Confirmed Eruption,Crater 2,3.0,1954.0,5.0,18.0,Historical Observations,1954.0,11.0,13.0,-5.525,148.42
251020,Manam,14918,Confirmed Eruption,,2.0,1954.0,5.0,16.0,Historical Observations,1954.0,6.0,16.0,-4.08,145.037
241080,Tongariro,14594,Confirmed Eruption,Ngauruhoe (south sub-crater),3.0,1954.0,5.0,13.0,Historical Observations,1955.0,6.0,25.0,-39.157,175.632
285040,Shikotsu,18629,Confirmed Eruption,Tarumai,1.0,1954.0,5.0,2.0,Historical Observations,1954.0,5.0,2.0,42.688,141.38
264050,Sangeang Api,16243,Confirmed Eruption,,2.0,1954.0,4.0,26.0,Historical Observations,,,,-8.2,119.07
234010,Heard,14404,Confirmed Eruption,Mawson Peak,2.0,1954.0,4.0,13.0,Historical Observations,1954.0,6.0,13.0,-53.106,73.513
343020,Santa Ana,22142,Confirmed Eruption,,2.0,1954.0,4.0,,Radiocarbon (corrected),,,,13.853,-89.63
223020,Nyamuragira,14060,Confirmed Eruption,SSE fissure zone (Mihaga),1.0,1954.0,2.0,21.0,Historical Observations,1954.0,5.0,28.0,-1.408,29.2
300240,Tolbachik,19306,Confirmed Eruption,,2.0,1954.0,2.0,21.0,Historical Observations,1954.0,6.0,13.0,55.832,160.326
344070,"Negro, Cerro",10955,Confirmed Eruption,,2.0,1954.0,2.0,16.0,Historical Observations,1954.0,2.0,16.0,12.506,-86.702
284130,Fukutoku-Oka-no-Ba,18451,Uncertain Eruption,,0.0,1954.0,2.0,4.0,,,,,24.285,141.481
233020,"Fournaise, Piton de la",14352,Confirmed Eruption,,,1954.0,1.0,16.0,Historical Observations,1954.0,12.0,16.0,-21.244,55.708
373010,Grimsvotn,12835,Confirmed Eruption,,1.0,1954.0,1.0,15.0,Historical Observations,,,,64.416,-17.316
285070,Akan,18689,Confirmed Eruption,Me-Akan (Nakamachineshiri),1.0,1954.0,1.0,7.0,Historical Observations,1954.0,4.0,13.0,43.384,144.013
390100,Candlemas Island,13225,Uncertain Eruption,NW flank (Lucifer Hill),0.0,1953.0,12.0,31.0,,,,,-57.08,-26.67
241080,Tongariro,14593,Confirmed Eruption,Ngauruhoe (south sub-crater),0.0,1953.0,12.0,28.0,Historical Observations,,,,-39.157,175.632
283110,Asamayama,17799,Confirmed Eruption,,3.0,1953.0,12.0,27.0,Historical Observations,1955.0,8.0,2.0,36.406,138.523
282110,Asosan,17326,Confirmed Eruption,Naka-dake,1.0,1953.0,12.0,16.0,Historical Observations,1953.0,12.0,16.0,32.884,131.104
284130,Fukutoku-Oka-no-Ba,18450,Uncertain Eruption,,0.0,1953.0,12.0,1.0,,1953.0,12.0,1.0,24.285,141.481
312030,Pavlof,20134,Confirmed Eruption,Upper NE or NNE flank,1.0,1953.0,11.0,25.0,Historical Observations,1954.0,8.0,16.0,55.417,-161.894
266030,Soputan,13595,Confirmed Eruption,NE flank (Aeseput),2.0,1953.0,11.0,16.0,Historical Observations,,,,1.112,124.737
257060,Epi,15326,Uncertain Eruption,,0.0,1953.0,11.0,16.0,,,,,-16.68,168.37
360160,Kick 'em Jenny,12459,Confirmed Eruption,,0.0,1953.0,10.0,30.0,Hydrophonic,1953.0,10.0,30.0,12.3,-61.64
283150,Nasudake,17883,Confirmed Eruption,Chausu-dake (1881 crater),1.0,1953.0,10.0,24.0,Historical Observations,1953.0,10.0,29.0,37.125,139.963
264030,Rinjani,16221,Confirmed Eruption,Gunung Barujari,0.0,1953.0,10.0,15.0,Historical Observations,,,,-8.42,116.47
284010,Izu-Oshima,18225,Confirmed Eruption,Mihara-yama,1.0,1953.0,10.0,5.0,Historical Observations,1954.0,2.0,8.0,34.724,139.394
311360,Shishaldin,20081,Confirmed Eruption,,2.0,1953.0,10.0,4.0,Historical Observations,,,,54.756,-163.97
262000,Krakatau,15604,Confirmed Eruption,Anak Krakatau,2.0,1953.0,9.0,21.0,Historical Observations,1953.0,11.0,25.0,-6.102,105.423
285040,Shikotsu,18628,Confirmed Eruption,Tarumai,1.0,1953.0,9.0,14.0,Historical Observations,1953.0,9.0,14.0,42.688,141.38
264110,Iya,15524,Confirmed Eruption,,2.0,1953.0,9.0,4.0,Historical Observations,1953.0,9.0,5.0,-8.891,121.641
353050,"Negra, Sierra",11708,Confirmed Eruption,Volcán Chico area & NW caldera rim,3.0,1953.0,8.0,27.0,Historical Observations,1954.0,1.0,16.0,-0.83,-91.17
234010,Heard,14403,Confirmed Eruption,Mawson Peak,2.0,1953.0,8.0,20.0,Historical Observations,1953.0,11.0,18.0,-53.106,73.513
263180,Slamet,15760,Confirmed Eruption,,2.0,1953.0,8.0,16.0,Historical Observations,1953.0,10.0,16.0,-7.242,109.208
211060,Etna,13788,Uncertain Eruption,,2.0,1953.0,7.0,30.0,,,,,37.748,14.999
313040,Spurr,20397,Confirmed Eruption,South flank (Crater Peak),4.0,1953.0,7.0,9.0,Historical Observations,1953.0,7.0,16.0,61.299,-152.251
311320,Akutan,20020,Confirmed Eruption,,2.0,1953.0,7.0,2.0,Historical Observations,,,,54.134,-165.986
311161,Korovin,19756,Uncertain Eruption,,,1953.0,7.0,2.0,,1954.0,7.0,2.0,52.381,-174.166
284121,Kita-Fukutokutai,18398,Confirmed Eruption,,0.0,1953.0,7.0,2.0,Historical Observations,1954.0,7.0,2.0,24.417,141.417
300130,Karymsky,19178,Confirmed Eruption,,2.0,1953.0,7.0,2.0,Historical Observations,,,,54.049,159.443
267020,Karangetang,16520,Confirmed Eruption,,2.0,1953.0,7.0,2.0,Historical Observations,,,,2.781,125.407
353040,Alcedo,11694,Confirmed Eruption,SE flank near Cartago Bay,0.0,1953.0,7.0,2.0,Historical Observations,,,,-0.43,-91.12
250010,St. Andrew Strait,14858,Confirmed Eruption,Tuluman,2.0,1953.0,6.0,27.0,Historical Observations,1957.0,1.0,28.0,-2.38,147.35
311240,Cleveland,19806,Uncertain Eruption,,,1953.0,6.0,25.0,,,,,52.825,-169.944
255020,Bagana,15129,Confirmed Eruption,,3.0,1953.0,6.0,16.0,Historical Observations,1953.0,9.0,16.0,-6.137,155.196
264270,Sirung,16359,Confirmed Eruption,,,1953.0,6.0,16.0,Historical Observations,,,,-8.508,124.13
300260,Klyuchevskoy,19444,Confirmed Eruption,"Summit, NE flank (Belyankin Crater)",2.0,1953.0,6.0,7.0,Historical Observations,1953.0,6.0,25.0,56.056,160.642
284110,Kita-Ioto,18380,Uncertain Eruption,Funka-Asane,0.0,1953.0,5.0,16.0,,1953.0,5.0,16.0,25.424,141.284
257040,Ambrym,15264,Confirmed Eruption,"Benbow, Mbuelesu, S flank of Benbow",2.0,1953.0,5.0,16.0,Historical Observations,1953.0,10.0,13.0,-16.25,168.12
311120,Great Sitkin,19738,Discredited Eruption,,,1953.0,5.0,11.0,,1953.0,5.0,14.0,52.076,-176.13
251050,Long Island,14959,Confirmed Eruption,Motmot,3.0,1953.0,5.0,8.0,Historical Observations,1954.0,1.0,7.0,-5.358,147.12
282110,Asosan,17325,Confirmed Eruption,Naka-dake,2.0,1953.0,4.0,27.0,Historical Observations,1953.0,7.0,30.0,32.884,131.104
251020,Manam,14917,Confirmed Eruption,,2.0,1953.0,4.0,16.0,Historical Observations,1953.0,8.0,16.0,-4.08,145.037
342090,Fuego,10717,Confirmed Eruption,,3.0,1953.0,4.0,9.0,Historical Observations,1953.0,4.0,13.0,14.473,-90.88
263320,Lamongan,16102,Uncertain Eruption,,2.0,1953.0,4.0,4.0,,1953.0,6.0,16.0,-7.981,113.341
263200,Dieng Volcanic Complex,15782,Confirmed Eruption,,2.0,1953.0,3.0,24.0,Historical Observations,1953.0,3.0,25.0,-7.2,109.879
264050,Sangeang Api,16242,Confirmed Eruption,Doro Api,3.0,1953.0,3.0,19.0,Historical Observations,1953.0,5.0,15.0,-8.2,119.07
262000,Krakatau,15603,Confirmed Eruption,Anak Krakatau,2.0,1953.0,3.0,17.0,Historical Observations,1953.0,5.0,1.0,-6.102,105.423
233020,"Fournaise, Piton de la",14351,Confirmed Eruption,"South, NW & N flanks, Dolomieu, Bory",2.0,1953.0,3.0,13.0,Historical Observations,1953.0,7.0,8.0,-21.244,55.708
263250,Merapi,15908,Confirmed Eruption,,2.0,1953.0,3.0,2.0,Historical Observations,1958.0,12.0,16.0,-7.54,110.446
313020,Iliamna,20287,Uncertain Eruption,,2.0,1953.0,3.0,1.0,,,,,60.032,-153.09
312140,Martin,20210,Confirmed Eruption,Volcano Uncertain: SW of Trident; probably Martin,,1953.0,2.0,17.0,,,,,58.172,-155.361
312160,Trident,20226,Confirmed Eruption,SW flank (1100 m),3.0,1953.0,2.0,15.0,Historical Observations,1954.0,10.0,5.0,58.236,-155.1
257060,Epi,15325,Confirmed Eruption,Epi B and other vents,3.0,1953.0,2.0,12.0,Historical Observations,1953.0,2.0,19.0,-16.68,168.37
257070,Kuwae,15340,Confirmed Eruption,Karua,1.0,1953.0,2.0,12.0,Historical Observations,,,,-16.829,168.536
263340,Raung,16136,Confirmed Eruption,,3.0,1953.0,1.0,31.0,Historical Observations,1953.0,4.0,15.0,-8.119,114.056
300140,Maly Semyachik,17640,Confirmed Eruption,Ceno-Semiachik (Toitsky Crater),2.0,1952.0,12.0,5.0,Historical Observations,,,,54.135,159.674
241080,Tongariro,14592,Confirmed Eruption,Ngauruhoe (south sub-crater),2.0,1952.0,11.0,29.0,Historical Observations,1953.0,7.0,16.0,-39.157,175.632
300130,Karymsky,19177,Confirmed Eruption,,2.0,1952.0,11.0,16.0,Historical Observations,,,,54.049,159.443
290310,Tao-Rusyr Caldera,17623,Confirmed Eruption,Krenitzyn Peak (east flank),3.0,1952.0,11.0,12.0,Historical Observations,1952.0,11.0,19.0,49.35,154.7
290350,Karpinsky Group,18844,Confirmed Eruption,East side of Karpinsky Ridge,1.0,1952.0,11.0,5.0,Historical Observations,,,,50.148,155.373
284140,Farallon de Pajaros,18493,Confirmed Eruption,"Summit, east side",2.0,1952.0,10.0,26.0,Historical Observations,1953.0,4.0,15.0,20.546,144.893
344080,"Pilas, Las",10972,Confirmed Eruption,El Hoyo,1.0,1952.0,10.0,23.0,Historical Observations,1952.0,12.0,16.0,12.495,-86.688
262000,Krakatau,15602,Confirmed Eruption,Anak Krakatau,2.0,1952.0,10.0,10.0,Historical Observations,1952.0,10.0,11.0,-6.102,105.423
257070,Kuwae,15339,Confirmed Eruption,Karua,1.0,1952.0,10.0,3.0,Historical Observations,,,,-16.829,168.536
284070,Myojinsho,18316,Confirmed Eruption,Myojinsho,2.0,1952.0,9.0,16.0,Historical Observations,1953.0,10.0,16.0,31.888,139.918
285050,Tokachidake,18651,Confirmed Eruption,NE of Shin-funkako (Showa Crater),,1952.0,8.0,17.0,Historical Observations,,,,43.418,142.686
263290,Arjuno-Welirang,15961,Confirmed Eruption,NW flank (Kawah Plupuh),0.0,1952.0,8.0,15.0,Historical Observations,,,,-7.733,112.575
257040,Ambrym,15263,Confirmed Eruption,Benbow,2.0,1952.0,8.0,10.0,Historical Observations,1952.0,12.0,26.0,-16.25,168.12
341020,Barcena,10379,Confirmed Eruption,South end of Isla San Benedicto,3.0,1952.0,8.0,1.0,Historical Observations,1953.0,2.0,24.0,19.3,-110.82
283140,Nikko-Shiranesan,17864,Confirmed Eruption,Shirane-san,2.0,1952.0,7.0,16.0,Historical Observations,1952.0,9.0,16.0,36.799,139.376
241100,Ruapehu,14630,Confirmed Eruption,,1.0,1952.0,7.0,16.0,Historical Observations,,,,-39.28,175.57
263200,Dieng Volcanic Complex,15781,Uncertain Eruption,,1.0,1952.0,7.0,16.0,,,,,-7.2,109.879
268040,Gamkonora,16592,Confirmed Eruption,,2.0,1952.0,7.0,16.0,Historical Observations,1952.0,9.0,5.0,1.38,127.53
263090,Tangkuban Parahu,15676,Confirmed Eruption,Kawah Ecoma,1.0,1952.0,7.0,4.0,Historical Observations,1952.0,7.0,11.0,-6.77,107.6
266110,Mahawu,16468,Confirmed Eruption,,2.0,1952.0,7.0,2.0,Historical Observations,,,,1.352,124.865
282110,Asosan,17324,Uncertain Eruption,Naka-dake,,1952.0,7.0,2.0,,,,,32.884,131.104
273088,Ambalatungan Group,16870,Uncertain Eruption,Mt. Binuluan,1.0,1952.0,7.0,2.0,,,,,17.32,121.1
284133,Fukujin,18432,Uncertain Eruption,,0.0,1952.0,7.0,2.0,,,,,21.93,143.47
313020,Iliamna,20093,Uncertain Eruption,,,1952.0,7.0,2.0,,,,,60.032,-153.09
311310,Makushin,19987,Uncertain Eruption,,,1952.0,7.0,2.0,,,,,53.891,-166.923
332010,Kilauea,10088,Confirmed Eruption,Halemaumau,0.0,1952.0,6.0,27.0,Historical Observations,1952.0,11.0,10.0,19.421,-155.287
284130,Fukutoku-Oka-no-Ba,18449,Uncertain Eruption,,0.0,1952.0,6.0,20.0,,1952.0,6.0,20.0,24.285,141.481
283180,Azumayama,17935,Uncertain Eruption,Issaikyo,1.0,1952.0,6.0,18.0,,,,,37.735,140.244
283110,Asamayama,17798,Confirmed Eruption,,2.0,1952.0,6.0,7.0,Historical Observations,1952.0,6.0,14.0,36.406,138.523
233020,"Fournaise, Piton de la",14350,Confirmed Eruption,NE flank near north rim (1500 m),2.0,1952.0,5.0,19.0,Historical Observations,1952.0,7.0,20.0,-21.244,55.708
263350,Ijen,16172,Confirmed Eruption,Kawah Ijen,1.0,1952.0,4.0,22.0,Historical Observations,1952.0,4.0,24.0,-8.058,114.242
255060,Kavachi,15152,Confirmed Eruption,,2.0,1952.0,4.0,16.0,Historical Observations,1953.0,1.0,31.0,-8.991,157.979
261220,Kaba,15546,Confirmed Eruption,,2.0,1952.0,4.0,1.0,Historical Observations,1952.0,4.0,28.0,-3.522,102.615
264250,Iliwerung,16345,Confirmed Eruption,,1.0,1952.0,3.0,24.0,Historical Observations,,,,-8.53,123.57
345040,Poas,11165,Confirmed Eruption,,2.0,1952.0,3.0,23.0,Historical Observations,1957.0,12.0,25.0,10.2,-84.233
274020,Didicas,16876,Confirmed Eruption,,2.0,1952.0,3.0,16.0,Historical Observations,1953.0,7.0,2.0,19.077,122.202
255020,Bagana,15128,Confirmed Eruption,,4.0,1952.0,2.0,29.0,Historical Observations,1952.0,10.0,16.0,-6.137,155.196
267020,Karangetang,16519,Confirmed Eruption,"Craters I, II and III",2.0,1952.0,2.0,16.0,Historical Observations,1952.0,6.0,30.0,2.781,125.407
233010,Karthala,14199,Confirmed Eruption,Chahalé crater,2.0,1952.0,2.0,10.0,Historical Observations,1952.0,2.0,12.0,-11.75,43.38
311070,Gareloi,19684,Confirmed Eruption,,2.0,1952.0,1.0,17.0,Historical Observations,,,,51.79,-178.794
283110,Asamayama,17797,Uncertain Eruption,,1.0,1952.0,1.0,16.0,,1952.0,1.0,16.0,36.406,138.523
261170,Kerinci,15512,Confirmed Eruption,,2.0,1952.0,1.0,16.0,Historical Observations,1952.0,6.0,16.0,-1.697,101.264
290120,Kolokol Group,18772,Confirmed Eruption,Berg,2.0,1952.0,1.0,15.0,Historical Observations,,,,46.042,150.083
311310,Makushin,19986,Confirmed Eruption,,1.0,1951.0,12.0,20.0,Historical Observations,,,,53.891,-166.923
264230,Lewotolo,16336,Confirmed Eruption,,2.0,1951.0,12.0,15.0,Historical Observations,,,,-8.272,123.505
255060,Kavachi,15151,Confirmed Eruption,,2.0,1951.0,12.0,1.0,Historical Observations,,,,-8.991,157.979
300260,Klyuchevskoy,19443,Confirmed Eruption,"Summit, NE flank (Bylinkina, 950 m)",2.0,1951.0,11.0,19.0,Historical Observations,1951.0,11.0,30.0,56.056,160.642
