Year,Month,SSN,Deviation,Date,Monthly Anomaly,CO2,Volcanic Activity,volcano_name,eruption_number,eruption_category
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Cotopaxi,11551,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Arenal,11131,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Sabancaya,11745,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Huanquihue Group,12087,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Antuco,11995,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Copahue,12001,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Bardarbunga,12877,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Haleakala,10296,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Kilauea,10058,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Mauna Loa,10187,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Gorely,19012,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Mutnovsky,18957,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,Ksudach,18940,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.01,1,"Tair, Jebel at",13919,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Cotopaxi,11551,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Arenal,11131,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Sabancaya,11745,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Huanquihue Group,12087,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Antuco,11995,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Copahue,12001,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Bardarbunga,12877,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Haleakala,10296,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Kilauea,10058,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Mauna Loa,10187,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Gorely,19012,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Mutnovsky,18957,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,Ksudach,18940,Confirmed Eruption
1750,1,73.3,27.3,1750-01-01,-0.252,277.0213077679417,1,"Tair, Jebel at",13919,Confirmed Eruption
1750,2,75.9,27.7,1750-02-01,-1.261,277.0322079539083,1,Cotopaxi,11551,Confirmed Eruption
1750,2,75.9,27.7,1750-02-01,-1.261,277.0322079539083,1,Arenal,11131,Confirmed Eruption
1750,2,75.9,27.7,1750-02-01,-1.261,277.0322079539083,1,Sabancaya,11745,Confirmed Eruption
